k,state,true_mean,sample_mean,sample_std,abs_err
7,46,0.5,0.398472792059455,0.05432334559715254,0.10152720794054498
7,47,0.5,0.43148656877008573,0.05852292743185118,0.06851343122991427
7,48,0.5,0.4087619587043445,0.024122816734992537,0.09123804129565549
7,49,0.5,0.41052810390582256,0.04120909084368341,0.08947189609417744
7,50,0.3333333333333333,0.3815030091636809,0.03489161773093066,0.04816967583034759
7,51,0.5,0.4261364592915329,0.03413656174538827,0.07386354070846712
7,52,0.5,0.4086781650406567,0.051354257113177315,0.09132183495934332
7,53,0.5,0.3900691568729054,0.06779053755112284,0.10993084312709461
7,54,0.5,0.3789612699716311,0.04212800756274301,0.1210387300283689
7,55,0.5,0.3752526527611696,0.07801604002157758,0.12474734723883041
7,56,0.5,0.4239338458201557,0.03916372183972904,0.0760661541798443
7,57,0.5,0.3688391750651244,0.043229763962326195,0.13116082493487558
7,58,0.5,0.4214132215391107,0.05500664426262655,0.0785867784608893
7,59,0.5,0.373558987989135,0.06819373990074418,0.126441012010865
7,60,0.5,0.4218523662759024,0.05499013113165893,0.07814763372409761
7,61,0.5,0.4147681500829997,0.047720640689848354,0.08523184991700028
7,62,0.5,0.3815521980992896,0.05069522038294289,0.11844780190071041
7,63,0.5,0.3821119113588688,0.0671382116414511,0.1178880886411312
7,64,0.5,0.39861540397984196,0.02801847929317245,0.10138459602015804
7,65,0.5,0.38373771201530427,0.02682290817292183,0.11626228798469573
7,66,0.5,0.3897630240847828,0.03235063947315286,0.1102369759152172
7,67,0.5,0.41436989935603064,0.04494343989063594,0.08563010064396936
7,68,0.5,0.42108445701340097,0.027313878727095012,0.07891554298659903
7,69,0.5,0.37494916796194533,0.06084967646303333,0.12505083203805467
7,70,0.3333333333333333,0.3781164882154878,0.0554088572822365,0.04478315488215451
7,71,0.5,0.4067751703903516,0.044548306877250615,0.0932248296096484
7,72,0.5,0.37178457231105677,0.03253302010813047,0.12821542768894323
7,73,0.5,0.3737133707622464,0.034104414351303916,0.12628662923775358
7,74,0.5,0.40703242994239314,0.03817347577250722,0.09296757005760686
7,75,0.5,0.38547700383137906,0.03238892240858725,0.11452299616862094
7,76,0.5,0.3959134393120233,0.04657078694134242,0.10408656068797673
7,77,0.5,0.4040092546592389,0.04400877654885861,0.09599074534076107
7,78,0.5,0.4069216270998101,0.04121106873515242,0.09307837290018989
7,79,0.5,0.41631792218527686,0.06695800823788653,0.08368207781472314
7,80,0.5,0.3854720068867347,0.028986839098010777,0.11452799311326528
7,81,0.5,0.39081060172630594,0.038592622594728884,0.10918939827369406
7,82,0.5,0.3988296211447493,0.0356904757630952,0.10117037885525071
7,83,0.5,0.37831673350366535,0.059225301953265905,0.12168326649633465
7,84,0.5,0.407690103167082,0.03636013730099869,0.09230989683291801
7,85,0.5,0.3831201781128852,0.053440312663882134,0.11687982188711482
7,86,0.5,0.4400477813317039,0.04833827138434096,0.05995221866829609
7,87,0.5,0.3674317275632907,0.03216336961610056,0.13256827243670932
7,88,0.5,0.40809405697915846,0.046971757405591494,0.09190594302084154
7,89,0.5,0.3812794288726553,0.0476447803124977,0.11872057112734469
7,90,0.5,0.4017355908859782,0.064719752041422,0.09826440911402179
7,91,0.5,0.45564756420893165,0.06267170385974627,0.044352435791068345
7,92,0.5,0.41334301979277643,0.04215898918822685,0.08665698020722357
7,93,0.5,0.4156058279386111,0.0725996905998506,0.08439417206138888
7,94,0.5,0.42595800133162337,0.06581495048684702,0.07404199866837663
7,95,0.5,0.39452380952380955,0.09520326744140284,0.10547619047619045
7,96,0.5,0.405122477390627,0.0439240595229141,0.09487752260937299
7,97,0.5,0.389549793484438,0.05161613407475346,0.11045020651556198
7,98,0.5,0.40920157503393423,0.06851375672453713,0.09079842496606577
