k,context_id,context_len,bayes_p_next_1,model_p_next_1
1,53,346,0.42391304347826086,0.4392949342727661
1,54,991,0.7167487684729064,0.6820984482765198
1,55,216,0.8478260869565217,0.7153160572052002
1,56,1497,0.7988645579886455,0.8577854633331299
1,57,569,0.9758064516129032,0.9054824113845825
1,58,1871,0.740662438336857,0.8235943913459778
1,59,397,0.7455197132616488,0.7245469689369202
1,60,1295,0.18461538461538463,0.26062899827957153
1,61,1078,0.2115606936416185,0.1813218593597412
1,62,1868,0.7935779816513762,0.7505922317504883
1,63,1279,0.4712041884816754,0.5449663996696472
1,64,1765,0.3582358235823582,0.3201383948326111
1,65,977,0.1554054054054054,0.41432127356529236
1,66,493,0.08558558558558559,0.11847855150699615
1,67,436,0.9788732394366197,0.9774625301361084
1,68,1768,0.5604060913705584,0.5621340870857239
1,69,463,0.058823529411764705,0.13157984614372253
1,70,1502,0.8907185628742516,0.9263268113136292
1,71,1102,0.7370283018867925,0.7436642050743103
1,72,610,0.6924731182795699,0.7337867617607117
1,73,872,0.7532467532467533,0.8305882215499878
1,74,1632,0.33042529989094876,0.38665056228637695
1,75,955,0.2661290322580645,0.22502394020557404
1,76,1766,0.910958904109589,0.8870601058006287
1,77,1925,0.948948948948949,0.939228892326355
1,78,653,0.2854122621564482,0.2834467589855194
1,79,1098,0.4818181818181818,0.5390305519104004
1,80,1101,0.35766423357664234,0.2911379635334015
1,81,1132,0.5171849427168577,0.6358716487884521
1,82,204,0.6,0.6368285417556763
1,83,791,0.17928902627511592,0.14304795861244202
1,84,1211,0.2125506072874494,0.30663982033729553
1,85,1871,0.7978571428571428,0.8050739169120789
1,86,532,0.012195121951219513,0.16888393461704254
1,87,1331,0.6522366522366523,0.6835813522338867
1,88,1569,0.4574976122254059,0.45416003465652466
1,89,1883,0.5379975874547648,0.45935747027397156
1,90,405,0.12465373961218837,0.07987412810325623
1,91,1391,0.6270967741935484,0.6638388633728027
1,92,679,0.8973063973063973,0.896614134311676
1,93,930,0.5024875621890548,0.475061297416687
1,94,92,0.42105263157894735,0.5989940762519836
1,95,1485,0.331511839708561,0.3393605947494507
1,96,128,0.8165137614678899,0.907074511051178
1,97,799,0.775,0.7786307334899902
1,98,1041,0.04424778761061947,0.11469154059886932
1,99,1380,0.31198686371100165,0.4318264424800873
1,100,985,0.8627450980392157,0.8952662348747253
1,101,1714,0.1344165435745938,0.1475839465856552
1,102,315,0.37438423645320196,0.3194847106933594
1,103,580,0.2053872053872054,0.17036578059196472
1,104,570,0.6397058823529411,0.6742983460426331
1,105,811,0.77947932618683,0.8058974146842957
1,106,70,0.4473684210526316,0.3805566132068634
1,107,908,0.9208053691275168,0.9063135385513306
1,108,813,0.6909090909090909,0.6408827304840088
1,109,1216,0.27184466019417475,0.3999123275279999
1,110,1197,0.9032258064516129,0.8937349915504456
1,111,617,0.9046762589928058,0.9440341591835022
1,112,904,0.016853932584269662,0.018052484840154648
1,113,1054,0.07168037602820211,0.08180154114961624
1,114,1707,0.667479674796748,0.7138003706932068
1,115,215,0.5826771653543307,0.4634450078010559
1,116,1277,0.8813349814585909,0.8762729167938232
1,117,221,0.1724137931034483,0.1422974318265915
1,118,587,0.6594202898550725,0.8015970587730408
1,119,937,0.698389458272328,0.7198365926742554
1,120,1660,0.5237242614145031,0.6405696272850037
1,121,726,0.5152284263959391,0.3909587562084198
1,122,1046,0.8052173913043478,0.7713176012039185
1,123,1203,0.9360902255639098,0.9277685880661011
1,124,1557,0.13413654618473897,0.09270989149808884
1,125,842,0.9652605459057072,0.9773924946784973
1,126,1178,0.16109422492401215,0.14017784595489502
1,127,1714,0.8165249088699879,0.8670397400856018
1,128,924,0.44805194805194803,0.3912554979324341
1,129,1909,0.889811320754717,0.842033326625824
1,130,843,0.7230046948356808,0.6494045257568359
1,131,916,0.2523719165085389,0.3279968798160553
1,132,107,0.3387096774193548,0.3032543361186981
1,133,1113,0.09840954274353876,0.07197946310043335
1,134,987,0.5108695652173914,0.5815448760986328
1,135,880,0.8344370860927153,0.7621012926101685
1,136,1291,0.06368330464716007,0.05217915400862694
1,137,1142,0.11162790697674418,0.18620525300502777
1,138,1925,0.6264822134387352,0.6171286702156067
1,139,864,0.47877358490566035,0.535194993019104
1,140,920,0.9488188976377953,0.9167386889457703
1,141,1662,0.7379182156133829,0.7024317979812622
1,142,1019,0.59472049689441,0.6524388194084167
1,143,556,0.7315270935960592,0.7687627673149109
1,144,1085,0.05795454545454545,0.06575828045606613
1,145,1061,0.5854545454545454,0.5588935613632202
1,146,868,0.44063324538258575,0.48928940296173096
1,147,1108,0.3644859813084112,0.368925005197525
