step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
79,0.556856170296669,3.95e-05,322.5499746799469,0.6261799367078098,0.48297414507706765,29.65081942593241,0
80,0.6360968425869942,4e-05,326.47523260116577,0.6261799367078098,0.48297414507706765,29.65081942593241,0
81,0.5973691940307617,4.05e-05,330.3859589099884,0.6261799367078098,0.48297414507706765,29.65081942593241,0
82,0.6261248961091042,4.1e-05,334.2870502471924,0.6261799367078098,0.48297414507706765,29.65081942593241,0
83,0.5922392159700394,4.15e-05,338.18618988990784,0.6261799367078098,0.48297414507706765,29.65081942593241,0
84,0.6139624938368797,4.2000000000000004e-05,342.0853967666626,0.6261799367078098,0.48297414507706765,29.65081942593241,0
85,0.5891774892807007,4.25e-05,345.971195936203,0.6261799367078098,0.48297414507706765,29.65081942593241,0
86,0.6178754270076752,4.3e-05,349.88498854637146,0.6261799367078098,0.48297414507706765,29.65081942593241,0
87,0.6136512085795403,4.350000000000001e-05,353.78486132621765,0.6261799367078098,0.48297414507706765,29.65081942593241,0
88,0.5954939424991608,4.4e-05,357.7307085990906,0.6261799367078098,0.48297414507706765,29.65081942593241,0
89,0.6070405505597591,4.45e-05,361.63464093208313,0.6261799367078098,0.48297414507706765,29.65081942593241,0
90,0.6122225001454353,4.4999999999999996e-05,365.53105115890503,0.6261799367078098,0.48297414507706765,29.65081942593241,0
91,0.5873567685484886,4.55e-05,369.43022418022156,0.6261799367078098,0.48297414507706765,29.65081942593241,0
92,0.6125483736395836,4.6e-05,373.326140165329,0.6261799367078098,0.48297414507706765,29.65081942593241,0
93,0.615070678293705,4.65e-05,377.2390151023865,0.6261799367078098,0.48297414507706765,29.65081942593241,0
94,0.6156004965305328,4.7e-05,381.13878536224365,0.6261799367078098,0.48297414507706765,29.65081942593241,0
95,0.5880330353975296,4.75e-05,385.040408372879,0.6261799367078098,0.48297414507706765,29.65081942593241,0
96,0.6036020442843437,4.8e-05,388.9409694671631,0.6261799367078098,0.48297414507706765,29.65081942593241,0
97,0.5849435143172741,4.85e-05,392.84086203575134,0.6261799367078098,0.48297414507706765,29.65081942593241,0
98,0.6115789040923119,4.9000000000000005e-05,396.8509132862091,0.6261799367078098,0.48297414507706765,29.65081942593241,0
99,0.6029985770583153,4.9500000000000004e-05,400.8668987751007,0.6261799367078098,0.48297414507706765,29.65081942593241,0
100,0.6217278763651848,5e-05,418.1475782394409,0.6101716087591234,0.48744039940956213,25.17871097640365,1
101,0.5994797348976135,5.05e-05,421.92147946357727,0.6101716087591234,0.48744039940956213,25.17871097640365,0
102,0.5918296948075294,5.1000000000000006e-05,425.87810158729553,0.6101716087591234,0.48744039940956213,25.17871097640365,0
103,0.6250705644488335,5.1500000000000005e-05,429.7945852279663,0.6101716087591234,0.48744039940956213,25.17871097640365,0
104,0.599068745970726,5.2000000000000004e-05,433.68941497802734,0.6101716087591234,0.48744039940956213,25.17871097640365,0
105,0.6033145412802696,5.2499999999999995e-05,437.59776401519775,0.6101716087591234,0.48744039940956213,25.17871097640365,0
106,0.5941673368215561,5.3e-05,441.5018346309662,0.6101716087591234,0.48744039940956213,25.17871097640365,0
107,0.6372528001666069,5.35e-05,445.3924961090088,0.6101716087591234,0.48744039940956213,25.17871097640365,0
108,0.6254167556762695,5.4e-05,449.3097765445709,0.6101716087591234,0.48744039940956213,25.17871097640365,0
109,0.6122365891933441,5.4499999999999997e-05,453.20984077453613,0.6101716087591234,0.48744039940956213,25.17871097640365,0
110,0.6168634667992592,5.5e-05,457.1105341911316,0.6101716087591234,0.48744039940956213,25.17871097640365,0
111,0.6154616847634315,5.55e-05,461.04658699035645,0.6101716087591234,0.48744039940956213,25.17871097640365,0
112,0.5860111378133297,5.6e-05,464.9434986114502,0.6101716087591234,0.48744039940956213,25.17871097640365,0
113,0.6386373341083527,5.6500000000000005e-05,468.84453415870667,0.6101716087591234,0.48744039940956213,25.17871097640365,0
114,0.5958103910088539,5.7e-05,472.7460386753082,0.6101716087591234,0.48744039940956213,25.17871097640365,0
115,0.6034964174032211,5.75e-05,476.64854645729065,0.6101716087591234,0.48744039940956213,25.17871097640365,0
116,0.6284507066011429,5.8e-05,480.55415511131287,0.6101716087591234,0.48744039940956213,25.17871097640365,0
117,0.6159907057881355,5.8500000000000006e-05,484.4650492668152,0.6101716087591234,0.48744039940956213,25.17871097640365,0
118,0.6364224776625633,5.9000000000000004e-05,488.3653748035431,0.6101716087591234,0.48744039940956213,25.17871097640365,0
119,0.6145352870225906,5.95e-05,492.26946473121643,0.6101716087591234,0.48744039940956213,25.17871097640365,0
120,0.6221991367638111,5.9999999999999995e-05,496.1701080799103,0.6101716087591234,0.48744039940956213,25.17871097640365,0
121,0.5900283828377724,6.05e-05,500.0700418949127,0.6101716087591234,0.48744039940956213,25.17871097640365,0
122,0.6043723821640015,6.1e-05,503.9701044559479,0.6101716087591234,0.48744039940956213,25.17871097640365,0
123,0.6104449480772018,6.15e-05,507.8732764720917,0.6101716087591234,0.48744039940956213,25.17871097640365,0
124,0.5935966297984123,6.2e-05,511.773610830307,0.6101716087591234,0.48744039940956213,25.17871097640365,0
125,0.5970611982047558,6.25e-05,515.6809151172638,0.6101716087591234,0.48744039940956213,25.17871097640365,0
126,0.6229260340332985,6.3e-05,519.566239118576,0.6101716087591234,0.48744039940956213,25.17871097640365,0
127,0.60832279920578,6.35e-05,523.4793870449066,0.6101716087591234,0.48744039940956213,25.17871097640365,0
128,0.6064992696046829,6.4e-05,527.3781900405884,0.6101716087591234,0.48744039940956213,25.17871097640365,0
129,0.6187977567315102,6.45e-05,531.2697143554688,0.6101716087591234,0.48744039940956213,25.17871097640365,0
